remote,tx0,tx1,tx2,tx3
47,20,-17,-21,-31
21,30,20,-11,-5
-38,-2,13,-13,26
100,28,22,-11,15
21,30,-26,11,-25
4,25,4,-27,29
-52,-30,7,-29,30
-76,-21,13,-22,-30
-76,5,-19,-27,-32
68,-4,-5,1,20
10,19,-13,-6,-31
-10,-1,29,21,-30
8,7,-4,-29,3
5,15,-19,31,4
19,28,12,5,-30
86,12,15,6,23
-87,22,-18,29,-10
72,10,3,-1,-19
67,13,-4,19,-20
65,26,22,6,-13
-75,2,-29,26,-2
-85,7,2,-23,-8
3,0,-29,-25,0
86,-3,-9,-12,13
-14,-17,2,24,2
-73,-8,7,21,18
-37,8,11,29,-22
-51,-17,12,27,15
-52,-9,-32,-6,19
37,-8,-9,11,26
14,-5,-14,-14,-1
-65,29,19,8,-4
8,3,-24,8,6
-54,4,-14,12,-22
-29,-20,-29,19,-28
18,-8,-21,-16,-21
-37,5,-5,15,19
-81,-3,16,-19,16
13,14,21,8,16
40,-10,26,-2,28
-75,6,11,27,-25
-88,-31,-12,-17,-31
66,-16,15,2,-11
38,3,7,25,-22
-97,-27,9,-1,31
-77,-26,-22,-14,23
92,5,-26,-20,10
-40,-16,-13,-26,-20
-58,30,-12,5,-27
4,-19,-26,17,-3
24,-31,-22,21,-5
23,4,2,-1,28
-46,28,24,-12,2
2,29,22,9,-27
-85,24,30,8,-23
-58,11,24,-8,3
-3,-9,21,-12,-28
-100,-26,2,31,-10
-1,0,-5,27,8
-33,29,-18,31,-30
100,-18,12,7,-6
100,-24,23,31,-14
16,19,-18,-30,18
-27,30,4,-21,-23
8,-23,30,18,6
78,-26,7,26,-12
87,-13,-27,-2,-2
100,-13,-4,-5,17
42,6,18,13,10
69,-22,-25,-26,17
83,-1,-32,-26,-15
24,-17,-6,4,-22
-61,21,6,31,12
-52,-4,-5,28,-26
-25,16,-15,4,-20
-45,25,0,-31,23
-86,24,5,-19,-3
48,6,9,23,-23
88,22,-17,-15,11
38,7,-32,1,18
-85,-25,31,14,9
91,-20,23,19,-29
-20,-6,-10,14,2
-86,-5,-16,-27,25
-88,1,16,19,30
49,-22,-3,-26,-3
22,-12,13,-8,13
28,-2,-23,14,16
35,-10,18,4,23
-60,-23,-27,-23,-9
-86,-12,23,17,16
30,-32,-30,25,-22
-80,20,26,3,5
-53,25,-23,-17,-1
-83,28,8,-16,-23
52,5,22,-20,-22
-83,-28,19,18,2
72,-3,21,15,-13
-40,4,5,11,16
3,4,-18,14,-13
-70,26,19,-14,17
45,-23,-30,-7,8
-37,-3,9,19,14
48,1,-11,-27,-19
52,-7,26,-27,-21
-90,22,14,-28,-32
58,-18,-21,-15,7
-80,-4,23,10,24
7,-13,-19,28,14
68,2,-1,26,2
49,-14,23,-13,-19
44,-23,19,-15,-16
33,-25,-22,9,-21
-20,-11,18,8,-9
-34,7,7,-12,23
-48,4,11,18,25
71,24,-4,6,20
83,-17,10,11,-19
-20,27,-11,30,-29
-39,6,-23,6,-21
-33,19,-18,28,13
1,2,-8,-30,-21
-67,31,12,15,9
71,24,12,10,17
65,-22,-14,-18,-31
-24,-27,-2,21,5
17,23,-19,7,20
-20,9,-14,-29,17
92,0,0,28,-22
-82,-29,-7,1,-1
-98,-21,-10,-3,-11
17,-3,-13,-26,16
59,-30,-23,29,-11
44,2,-10,-11,-15
-75,-27,31,16,2
-82,-10,27,-14,6
37,28,25,-1,2
-46,24,9,-28,31
29,3,8,-18,-14
-33,-9,-13,-8,-24
-67,23,24,-30,-11
-11,30,-24,24,23
-83,-21,28,8,3
-38,28,24,21,21
-6,12,6,-13,6
-28,20,3,20,29
-60,10,-25,-6,-23
12,9,13,20,14
39,-19,-23,28,0
80,-12,7,-25,-1
-23,10,27,-15,31
56,20,25,-6,-7
67,31,-28,9,26
35,4,-25,29,-19
-98,19,15,16,-15
70,-28,4,8,6
41,26,-23,-10,-32
-24,-21,-21,26,18
69,8,17,11,10
-74,0,27,13,16
-66,9,-27,1,10
-33,-18,25,29,24
-71,19,-8,-8,10
-73,-32,9,-1,23
90,27,28,3,-15
41,20,-13,6,6
-61,-26,-25,-4,9
-31,-8,25,6,-7
-28,14,-19,4,29
54,31,11,-6,8
-47,24,-22,30,-10
83,-26,-10,8,18
-13,-6,-27,29,8
-48,2,-1,12,5
75,-16,24,3,30
62,4,24,4,-1
-33,24,-12,-17,9
29,30,14,16,16
25,-17,15,18,3
-36,-29,4,12,18
-87,-2,17,-14,14
-77,-12,20,5,-18
62,7,11,-27,-7
8,-31,-26,4,-9
-30,20,10,-22,-29
-89,-21,-24,12,27
-100,-4,10,24,-6
-15,-18,-20,0,24
97,27,17,29,5
-67,-17,4,-5,-24
63,-13,0,-7,20
-33,31,-13,2,31
-59,5,10,2,-15
89,2,-22,-15,6
13,21,-14,-19,-2
41,29,12,-2,0
80,28,7,-1,-13
9,-1,18,-26,22
43,26,-16,-4,16
-98,-14,-22,-3,-23
-72,17,7,-26,25
-81,-8,16,-20,29
76,-15,10,20,19
-62,-24,-16,10,21
39,3,-21,28,-28
-91,21,22,-20,14
-6,11,14,-15,-22
49,2,-30,-32,-19
41,-32,14,-12,-1
-63,4,7,20,13
10,6,-9,28,-11
-68,30,-5,29,-27
-90,-13,11,-7,19
-22,25,30,4,10
-7,29,-8,9,23
-90,12,-4,4,-19
-9,10,-15,-25,-31
-47,16,-13,-21,-20
74,26,-23,-3,1
-37,9,5,-28,-4
70,-8,-20,-10,-4
-74,-2,-28,21,25
